Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
hyundai,elantra,2006,yellow,gas,manual,1,250000,makkah,9500
toyota,camry,2000,white,gas,manual,1.3,400000,makkah,10000
hyundai,elantra,2009,white,gas,manual,1,400000,riyadh,11000
toyota,hiace,2000,white,gas,manual,2.7,200000,makkah,12000
toyota,cressida,1996,white,gas,manual,2.4,800000,aseer,13000
toyota,land cruiser,1983,brown,gas,manual,1.5,258000,aseer,15000
ford,crown victoria,2008,blue,gas,automatic,4.6,366600,eastern,16000
toyota,hilux,1991,white,gas,manual,2.4,800000,riyadh,16000
hyundai,h1,2008,white,gas,manual,2.4,100000,tabouk,17000
chevrolet,suburban,2000,gray,gas,automatic,5.3,296400,tabouk,18000
lexus,ls,2003,brown,gas,automatic,4.6,186900,riyadh,22000
toyota,corolla,2012,blue,gas,automatic,1.6,275500,makkah,25000
toyota,land cruiser,2002,white,gas,manual,4,300000,eastern,42000
toyota,land cruiser,2002,white,gas,automatic,4,300000,eastern,42000
mercedes,s,1992,green,gas,automatic,3,840000,eastern,80000
gmc,yukon,2013,brown,gas,automatic,5.3,78000,eastern,110000
toyota,corolla,2001,other,gas,manual,8.1,600000,jizan,9500
toyota,cressida,1996,white,gas,manual,2.4,600000,madinah,10000
kia,carens,2007,gray,gas,automatic,2,350000,riyadh,10000
nissan,datsun,1989,white,gas,manual,2.4,249000,riyadh,11000
toyota,land cruiser,1993,brown,gas,manual,4.6,400000,tabouk,12000
kia,carens,2008,other,gas,manual,2,350000,makkah,12000
toyota,previa,2004,other,gas,automatic,1,300000,eastern,12000
hyundai,sonata,2008,gray,gas,automatic,2,382000,riyadh,12000
hyundai,elantra,2011,white,gas,manual,2,290000,riyadh,12000
hyundai,accent,2010,white,gas,manual,1.2,198000,qassim,12000
toyota,camry,1995,white,gas,manual,2.5,300000,eastern,12000
chevrolet,lumina,2004,white,gas,automatic,3.8,280000,riyadh,12500
mercedes,s,2002,yellow,gas,automatic,3,348000,eastern,12500
nissan,pathfinder,2005,white,gas,automatic,3.5,308000,eastern,13000
chevrolet,suburban,2002,brown,gas,automatic,5.3,333000,riyadh,13000
toyota,camry,2001,green,gas,manual,1.4,300000,qassim,13500
gmc,suburban,2004,green,gas,automatic,1.1,212000,riyadh,14000
chevrolet,epica,2008,yellow,gas,automatic,1.8,260000,makkah,14000
toyota,rav4,2001,gray,gas,automatic,2,480000,makkah,14000
toyota,corolla,2009,white,gas,manual,2.5,360000,makkah,15000
toyota,hilux,1995,white,gas,manual,2.4,300000,aseer,15000
chevrolet,caprice,2007,other,gas,automatic,6,300000,riyadh,15000
toyota,hilux,1990,white,gas,manual,2.7,100000,al-baha,15000
chevrolet,cruze,2013,white,gas,automatic,1.8,175000,makkah,15000
hyundai,elantra,2012,white,gas,manual,1.7,300000,qassim,15000
ford,focus,2012,blue,gas,automatic,1.6,181000,riyadh,15000
mercedes,s,2000,black,gas,automatic,3,100000,eastern,15000
nissan,patrol,1999,green,gas,manual,1.6,600000,madinah,16000
toyota,camry,2007,gray,gas,manual,2.4,450000,tabouk,16500
ford,fusion,2012,white,gas,automatic,2.5,270000,makkah,16500
ford,explorer,2010,white,gas,automatic,6,244000,madinah,17500
hyundai,sonata,2011,gray,gas,automatic,2.4,450000,aseer,18000
ford,expedition,2007,blue,gas,automatic,5.4,300000,aseer,18000
kia,rio,2012,gray,gas,automatic,1.4,179000,riyadh,18000
